ax,ay,az
0.10,-1.76,0.89
-0.39,0.83,0.66
0.33,-0.82,1.47
-0.03,-1.64,0.74
-0.41,0.83,0.55
0.27,-0.77,1.54
-0.01,-1.23,0.56
-0.24,1.89,1.32
0.17,-0.37,1.02
0.23,0.43,0.76
-0.02,2.00,1.46
0.23,-0.48,1.57
0.17,0.68,0.55
0.06,2.00,1.63
0.08,0.05,1.48
-0.01,1.20,0.38
0.03,2.00,1.43
0.16,-1.04,1.38
-0.25,0.93,0.23
0.19,1.16,1.91
0.08,-1.55,1.01
-0.44,1.46,0.11
0.45,0.69,2.00
-0.15,-1.29,0.85
-0.50,0.20,0.27
0.45,-0.74,2.00
-0.14,-2.00,0.75
-0.66,0.10,-0.01
0.20,-0.79,1.54
0.09,-2.00,1.20
-0.58,0.52,0.49
0.27,-1.09,1.74
-0.08,-1.76,0.70
-0.38,0.79,1.04
0.15,-0.90,1.30
0.15,-0.75,0.55
-0.14,1.53,1.46
0.22,-0.35,1.23
-0.01,-0.29,0.52
-0.06,2.00,1.41
0.32,-0.43,1.45
-0.07,0.66,0.41
0.22,2.00,2.00
0.18,-0.48,1.03
0.05,1.50,0.56
0.18,1.67,1.71
-0.01,-1.27,1.09
-0.31,1.00,0.25
0.30,0.81,2.00
-0.20,-1.52,0.86
-0.43,0.38,-0.12
0.37,-0.22,2.00
-0.03,-2.00,0.75
-0.62,-0.01,0.02
0.27,-0.92,2.00
0.13,-2.00,1.17
-0.72,0.45,0.14
0.29,-1.12,1.48
-0.07,-2.00,0.81
-0.44,0.38,0.52
0.25,-1.14,1.52
-0.02,-1.30,0.63
-0.11,1.76,1.62
0.09,-0.09,1.05
0.10,0.45,0.49
0.04,2.00,1.70
0.34,-0.69,1.47
-0.00,1.11,0.41
0.10,2.00,1.75
0.11,-0.53,1.39
-0.08,1.68,0.40
0.17,1.26,1.83
-0.16,-1.22,0.76
-0.40,0.44,0.28
0.42,-0.03,2.00
-0.06,-2.00,0.70
-0.53,0.30,0.22
0.40,-0.60,2.00
-0.06,-2.00,0.89
-0.68,0.15,0.03
0.29,-1.49,2.00
-0.07,-1.98,0.77
