ax,ay,az
0.06,0.07,1.08
0.00,0.13,1.15
-0.08,-0.05,1.03
-0.08,0.35,0.91
0.00,-0.29,1.15
0.04,-0.22,1.09
-0.04,0.14,1.00
-0.08,-0.15,0.96
-0.02,0.14,1.17
0.03,0.30,1.18
-0.02,-0.37,0.97
-0.06,-0.08,1.01
-0.00,-0.12,1.07
0.03,-0.18,1.13
-0.06,0.08,1.08
0.01,0.11,1.19
-0.05,0.12,0.95
-0.06,-0.02,1.03
-0.01,-0.06,1.16
-0.09,-0.12,0.85
0.01,-0.17,1.19
-0.07,0.07,1.14
-0.08,-0.00,1.03
0.07,-0.05,1.15
-0.04,0.02,1.04
0.01,-0.13,1.09
-0.05,-0.07,1.07
-0.02,0.08,0.95
0.07,-0.03,1.27
-0.12,-0.11,0.96
-0.05,0.12,1.00
0.00,-0.07,1.14
-0.04,-0.14,0.93
0.12,0.15,1.18
-0.02,-0.08,1.04
-0.05,-0.13,0.88
0.05,0.27,1.23
-0.09,-0.19,1.02
-0.09,-0.10,1.09
-0.04,0.17,1.06
-0.10,-0.24,0.89
0.01,-0.04,1.27
-0.01,0.07,0.90
-0.03,-0.11,1.09
-0.07,-0.11,1.11
-0.01,-0.00,1.05
0.09,0.06,1.16
-0.04,-0.17,1.01
0.05,-0.06,1.09
-0.03,0.11,1.04
-0.07,-0.23,0.98
0.07,0.13,1.25
-0.05,0.09,0.98
-0.07,-0.37,1.01
0.03,0.15,1.16
-0.04,0.02,0.88
0.07,-0.20,1.10
-0.02,0.16,1.03
0.08,-0.09,1.13
0.02,-0.14,1.09
-0.03,0.15,1.00
-0.07,-0.18,1.05
-0.12,-0.01,0.93
-0.09,0.04,0.99
-0.07,0.00,1.14
-0.08,0.17,0.88
0.08,-0.02,1.21
-0.02,-0.08,1.09
-0.04,-0.01,0.97
-0.06,-0.22,1.03
-0.05,0.14,1.11
-0.04,0.03,1.21
-0.04,0.12,1.02
-0.05,0.06,0.87
0.08,-0.27,1.10
-0.00,-0.12,1.08
-0.02,-0.08,1.12
-0.09,-0.30,1.04
0.02,0.42,1.06
0.02,0.01,1.05
-0.06,-0.28,1.10
-0.03,-0.01,1.02
0.01,-0.23,1.12
-0.04,0.07,1.13
-0.04,0.19,1.12
-0.10,-0.07,1.04
-0.04,0.07,1.01
-0.01,-0.26,1.11
-0.01,-0.24,1.00
-0.03,0.01,0.95
-0.03,-0.10,1.01
-0.01,0.22,1.21
-0.07,0.12,0.98
0.08,-0.03,1.18
-0.01,-0.05,1.01
-0.01,-0.29,1.12
-0.03,-0.04,1.09
-0.10,-0.03,1.00
-0.08,0.04,1.06
-0.09,0.17,1.08
-0.01,-0.01,1.12
-0.02,-0.19,1.11
0.01,0.06,0.92
0.02,-0.12,1.15
-0.04,-0.10,1.10
0.03,0.24,1.09
0.01,-0.06,1.14
-0.05,-0.21,1.09
0.06,0.16,1.04
-0.06,-0.17,1.06
-0.09,-0.16,0.90
0.05,0.22,1.23
-0.02,-0.09,1.00
-0.03,-0.13,1.01
-0.01,0.16,1.16
-0.08,-0.13,1.03
0.06,-0.05,1.04
-0.02,0.12,0.95
-0.06,-0.11,0.98
0.03,-0.01,1.20
-0.08,-0.06,0.90
0.05,-0.05,1.08
-0.09,-0.01,0.97
-0.10,-0.06,1.03
0.01,0.11,1.26
-0.10,-0.18,0.96
-0.00,0.05,1.09
-0.02,0.07,1.19
-0.12,-0.29,1.13
-0.02,0.19,1.24
-0.05,-0.05,1.07
-0.02,-0.23,1.08
-0.03,0.17,1.05
-0.02,-0.14,1.08
0.06,-0.11,1.20
-0.02,0.15,0.89
0.01,-0.27,1.11
-0.01,-0.04,1.13
-0.01,0.10,0.90
-0.02,-0.14,1.14
-0.04,0.04,1.15
0.01,0.14,1.06
-0.06,-0.02,1.12
-0.10,-0.08,0.91
-0.04,-0.16,1.13
0.00,-0.04,0.89
0.02,0.02,1.13
-0.08,-0.04,1.11
-0.04,0.32,1.06
-0.03,-0.05,1.18
-0.04,-0.11,1.03
-0.05,-0.03,0.97
-0.03,-0.41,0.99
-0.05,0.08,1.08
0.05,0.21,1.11
-0.04,-0.15,0.99
-0.09,0.02,0.91
-0.04,-0.26,1.20
-0.01,-0.25,1.01
-0.03,0.23,1.14
0.03,-0.06,1.09
-0.05,0.18,0.99
-0.04,0.16,1.11
0.03,-0.28,1.24
-0.12,-0.10,0.91
-0.01,-0.07,1.10
-0.03,-0.05,1.22
-0.10,0.14,1.05
0.01,0.12,1.13
-0.01,0.05,1.00
0.04,-0.24,1.17
0.02,-0.06,1.06
0.01,-0.02,1.09
0.01,-0.17,1.18
-0.09,0.18,1.11
-0.09,0.06,1.14
-0.02,-0.18,1.11
-0.05,0.04,1.01
0.05,-0.09,1.22
-0.06,-0.18,1.00
-0.07,0.11,1.17
-0.01,0.00,1.21
-0.08,-0.08,1.02
0.06,0.04,1.24
-0.02,-0.04,1.02
-0.03,-0.18,1.05
0.09,0.04,1.28
-0.11,0.03,1.00
-0.13,-0.15,1.00
0.01,0.08,1.11
0.02,-0.08,1.26
0.01,-0.13,1.14
-0.06,0.10,0.99
0.07,-0.16,1.25
-0.03,-0.06,1.06
-0.02,0.04,0.93
0.09,-0.10,1.20
-0.04,-0.04,0.93
0.00,-0.04,1.23
0.01,0.11,1.13
-0.05,0.02,0.99
-0.03,-0.10,0.97
-0.02,0.14,1.01
-0.00,-0.10,1.16
-0.02,-0.01,1.12
-0.08,0.22,0.95
-0.06,-0.27,1.20
-0.04,0.04,1.05
-0.00,0.05,1.06
-0.05,-0.18,1.12
-0.06,0.03,0.96
0.03,-0.06,1.21
-0.03,-0.01,1.05
-0.11,-0.01,0.97
0.08,-0.21,1.24
-0.05,0.07,0.88
0.02,0.11,1.10
0.00,-0.17,1.27
-0.13,0.30,0.98
-0.00,0.03,1.14
0.04,-0.15,1.26
-0.11,-0.04,0.92
-0.06,-0.27,1.02
-0.02,0.06,1.13
-0.00,0.21,1.10
-0.15,-0.04,1.01
0.00,0.15,1.12
0.09,-0.12,1.22
0.03,-0.18,1.08
-0.01,0.04,1.08
-0.09,0.04,1.05
-0.01,0.21,1.15
0.08,0.07,1.22
-0.01,-0.11,1.02
-0.10,-0.13,0.94
0.01,-0.32,1.10
-0.02,0.10,1.09
-0.09,0.15,1.08
-0.01,0.05,1.23
-0.06,0.22,0.93
-0.01,-0.10,1.21
0.06,-0.19,1.10
